발표시각,지역
2025-05-13 12:30,강원특별자치도
발효시각,
(1) 강풍주의보 발표 : 2025년 05월 13일 12시 30분,
해당지역,
(1) 강풍주의보 발표 : 강원도(강원북부산지),
내용,
(1) 강풍주의보 발표,
발표시각,지역
2025-05-13 12:30,전국
발효시각,
(1) 강풍주의보 발표 : 2025년 05월 13일 12시 30분,
해당지역,
(1) 강풍주의보 발표 : 강원도(강원북부산지),
내용,
(1) 강풍주의보 발표,
발표시각,지역
2025-05-13 22:00,강원특별자치도
발효시각,
(1) 강풍주의보 해제 : 2025년 05월 13일 22시 00분,
해당지역,
(1) 강풍주의보 해제 : 강원도(강원북부산지),
내용,
,
발표시각,지역
2025-05-13 22:00,전국
발효시각,
(1) 강풍주의보 해제 : 2025년 05월 13일 22시 00분,
해당지역,
(1) 강풍주의보 해제 : 강원도(강원북부산지),
내용,
,
발표시각,지역
2025-05-14 14:00,광주·전라남도
발효시각,
(1) 강풍주의보 발표 : 2025년 05월 14일 14시 00분,
해당지역,
(1) 강풍주의보 발표 : 전라남도(흑산도.홍도),
내용,
(1) 강풍주의보 발표,
발표시각,지역
2025-05-14 14:00,전국
발효시각,
(1) 강풍주의보 발표 : 2025년 05월 14일 14시 00분,
해당지역,
(1) 강풍주의보 발표 : 전라남도(흑산도.홍도),
내용,
(1) 강풍주의보 발표,
발표시각,지역
2025-05-15 10:00,광주·전라남도
발효시각,
(1) 강풍주의보 해제 : 2025년 05월 15일 10시 00분,
해당지역,
(1) 강풍주의보 해제 : 전라남도(흑산도.홍도),
내용,
,
발표시각,지역
2025-05-15 10:00,전국
발효시각,
(1) 강풍주의보 해제 : 2025년 05월 15일 10시 00분,
해당지역,
(1) 강풍주의보 해제 : 전라남도(흑산도.홍도),
내용,
,
발표시각,지역
2025-05-15 15:10,광주·전라남도
발효시각,
(1) 호우주의보 발표 : 2025년 05월 15일 15시 10분,
해당지역,
(1) 호우주의보 발표 : 전라남도(고흥),
내용,
,
발표시각,지역
2025-05-15 15:10,전국
발효시각,
(1) 호우주의보 발표 : 2025년 05월 15일 15시 10분,
해당지역,
(1) 호우주의보 발표 : 전라남도(고흥),
내용,
