항목,연도,단계,발령횟수,발령일수
미세먼지(PM-10),2023,경보,4,3
미세먼지(PM-10),2023,주의보,23,16
미세먼지(PM-10),2022,주의보,7,5
미세먼지(PM-10),2021,경보,4,5
미세먼지(PM-10),2021,주의보,13,5
미세먼지(PM-10),2020,주의보,1,1
미세먼지(PM-10),2019,주의보,10,13
미세먼지(PM-10),2018,경보,1,1
미세먼지(PM-10),2018,주의보,11,10
미세먼지(PM-10),2017,경보,1,2
미세먼지(PM-10),2017,주의보,7,4
미세먼지(PM-10),2016,경보,1,1
미세먼지(PM-10),2016,주의보,9,7
미세먼지(PM-10),2015,주의보,5,4
초미세먼지(PM-2.5),2023,경보,1,2
초미세먼지(PM-2.5),2023,주의보,8,7
초미세먼지(PM-2.5),2022,주의보,2,5
초미세먼지(PM-2.5),2021,주의보,6,8
초미세먼지(PM-2.5),2020,주의보,2,5
초미세먼지(PM-2.5),2019,경보,1,2
초미세먼지(PM-2.5),2019,주의보,8,9
초미세먼지(PM-2.5),2018,주의보,5,12
초미세먼지(PM-2.5),2016,주의보,2,1
초미세먼지(PM-2.5),2015,주의보,5,6
오존(O3),2023,주의보,49,30
오존(O3),2022,주의보,50,28
오존(O3),2021,주의보,41,26
오존(O3),2020,주의보,32,19
오존(O3),2019,주의보,64,29
오존(O3),2018,주의보,26,18
오존(O3),2017,주의보,16,14
오존(O3),2016,주의보,23,17
오존(O3),2015,주의보,7,6
오존(O3),2014,주의보,10,8
오존(O3),2013,주의보,6,4
오존(O3),2012,주의보,1,1
오존(O3),2011,주의보,5,5
오존(O3),2010,주의보,2,2
오존(O3),2009,주의보,2,1
오존(O3),2008,주의보,15,10
