연도,시도,시군구,계약종별,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
2024,서울특별시,종로구,주택용,24457510,23282118,20752552,19900744,18662717,0,0,0,0,0,0,0
2024,서울특별시,종로구,일반용,118970820,108084734,96998216,89178768,87147189,0,0,0,0,0,0,0
2024,서울특별시,종로구,교육용,10915579,9659512,8515101,7473415,6702641,0,0,0,0,0,0,0
2024,서울특별시,종로구,산업용,5977510,6292446,5672759,5735979,5085070,0,0,0,0,0,0,0
2024,서울특별시,종로구,농사용,1314,1190,3539,1655,1246,0,0,0,0,0,0,0
2024,서울특별시,종로구,가로등,701358,657437,603069,572700,531209,0,0,0,0,0,0,0
2024,서울특별시,종로구,심 야,2176602,2120798,1792578,1933616,3122539,0,0,0,0,0,0,0
2024,서울특별시,종로구,합 계,163200693,150098235,134337814,124796877,121252611,0,0,0,0,0,0,0
2024,서울특별시,중구,주택용,19981933,18874914,17100485,16496121,15771600,0,0,0,0,0,0,0
2024,서울특별시,중구,일반용,168696850,151277557,139014758,130597903,132961518,0,0,0,0,0,0,0
2024,서울특별시,중구,교육용,5656362,4527247,4181968,3239471,3053083,0,0,0,0,0,0,0
2024,서울특별시,중구,산업용,19120690,18530057,16377017,16443403,14793729,0,0,0,0,0,0,0
2024,서울특별시,중구,농사용,5924,6749,6102,4244,3497,0,0,0,0,0,0,0
2024,서울특별시,중구,가로등,938043,909345,824299,797234,734819,0,0,0,0,0,0,0
2024,서울특별시,중구,심 야,696639,645573,606055,1827972,4069972,0,0,0,0,0,0,0
2024,서울특별시,중구,합 계,215096441,194771442,178110684,169406348,171388218,0,0,0,0,0,0,0
2024,서울특별시,용산구,주택용,37515050,35953024,31979193,31134121,29148614,0,0,0,0,0,0,0
2024,서울특별시,용산구,일반용,91149889,85491049,76402772,72840868,72549142,0,0,0,0,0,0,0
2024,서울특별시,용산구,교육용,5740110,4962389,4589591,3873040,3346654,0,0,0,0,0,0,0
2024,서울특별시,용산구,산업용,9212848,8666521,8076884,7868712,7479417,0,0,0,0,0,0,0
2024,서울특별시,용산구,가로등,1045419,987953,903241,830559,759002,0,0,0,0,0,0,0
2024,서울특별시,용산구,심 야,682457,612665,566714,715929,1041447,0,0,0,0,0,0,0
2024,서울특별시,용산구,합 계,145345773,136673601,122518395,117263229,114324276,0,0,0,0,0,0,0
2024,서울특별시,성동구,주택용,40065873,39420320,34865550,34650587,32070908,0,0,0,0,0,0,0
2024,서울특별시,성동구,일반용,78777710,72518088,62474914,56528259,54962632,0,0,0,0,0,0,0
2024,서울특별시,성동구,교육용,8809345,7584692,6992813,6098931,5815725,0,0,0,0,0,0,0
2024,서울특별시,성동구,산업용,76191849,73205407,69353155,68304771,66910331,0,0,0,0,0,0,0
2024,서울특별시,성동구,농사용,6407,6534,7617,8750,7577,0,0,0,0,0,0,0
2024,서울특별시,성동구,가로등,939534,884464,824831,758989,704112,0,0,0,0,0,0,0
2024,서울특별시,성동구,심 야,336258,328562,253114,163466,70986,0,0,0,0,0,0,0
2024,서울특별시,성동구,합 계,205126976,193948067,174771994,166513753,160542271,0,0,0,0,0,0,0
2024,서울특별시,동대문구,주택용,49682684,48390837,43231903,43053217,40157939,0,0,0,0,0,0,0
2024,서울특별시,동대문구,일반용,63519638,61207836,51321356,47123628,44012735,0,0,0,0,0,0,0
2024,서울특별시,동대문구,교육용,10699457,9248341,8504776,7272156,6572119,0,0,0,0,0,0,0
2024,서울특별시,동대문구,산업용,14846537,14467736,12817121,12364803,11704596,0,0,0,0,0,0,0
2024,서울특별시,동대문구,농사용,22079,21651,18527,16173,14442,0,0,0,0,0,0,0
2024,서울특별시,동대문구,가로등,870200,809606,752246,683744,624097,0,0,0,0,0,0,0
2024,서울특별시,동대문구,심 야,624324,539423,443090,363815,376393,0,0,0,0,0,0,0
2024,서울특별시,동대문구,합 계,140264919,134685430,117089019,110877536,103462321,0,0,0,0,0,0,0
2024,서울특별시,성북구,주택용,56311523,55190214,49448381,49387041,45581558,0,0,0,0,0,0,0
2024,서울특별시,성북구,일반용,54128158,51309921,43744241,40644894,38345464,0,0,0,0,0,0,0
2024,서울특별시,성북구,교육용,18971877,16360317,15360949,13370643,12218015,0,0,0,0,0,0,0
2024,서울특별시,성북구,산업용,8697575,8273035,7815783,7566316,7667239,0,0,0,0,0,0,0
2024,서울특별시,성북구,농사용,1224,1287,1244,1259,1312,0,0,0,0,0,0,0
2024,서울특별시,성북구,가로등,1167569,1078445,999428,935007,865739,0,0,0,0,0,0,0
2024,서울특별시,성북구,심 야,1696194,1615559,1338204,911902,555047,0,0,0,0,0,0,0
2024,서울특별시,성북구,합 계,140974120,133828778,118708230,112817062,105234374,0,0,0,0,0,0,0
2024,서울특별시,도봉구,주택용,39072623,38089495,34169656,33708186,31238881,0,0,0,0,0,0,0
2024,서울특별시,도봉구,일반용,35258202,33291437,28233438,25896501,24523996,0,0,0,0,0,0,0
2024,서울특별시,도봉구,교육용,4345029,3674586,2988511,2755290,1700031,0,0,0,0,0,0,0
2024,서울특별시,도봉구,산업용,4559304,4431747,3982842,4133785,3915392,0,0,0,0,0,0,0
2024,서울특별시,도봉구,농사용,31633,31747,26818,26082,23220,0,0,0,0,0,0,0
2024,서울특별시,도봉구,가로등,626574,595973,549682,526756,487626,0,0,0,0,0,0,0
2024,서울특별시,도봉구,심 야,405155,392000,303986,220405,142725,0,0,0,0,0,0,0
2024,서울특별시,도봉구,합 계,84298520,80506985,70254933,67267005,62031871,0,0,0,0,0,0,0
2024,서울특별시,은평구,주택용,61061197,59388258,53803892,52596248,49485224,0,0,0,0,0,0,0
2024,서울특별시,은평구,일반용,53846644,51695521,43889904,41082397,38802969,0,0,0,0,0,0,0
2024,서울특별시,은평구,교육용,5111465,4494346,3805158,3149606,2077476,0,0,0,0,0,0,0
2024,서울특별시,은평구,산업용,17080530,16677558,15749365,15598420,14898608,0,0,0,0,0,0,0
2024,서울특별시,은평구,농사용,17643,16814,17003,16698,14884,0,0,0,0,0,0,0
2024,서울특별시,은평구,가로등,743002,696202,638286,580716,525382,0,0,0,0,0,0,0
2024,서울특별시,은평구,심 야,985998,946552,690983,487115,365807,0,0,0,0,0,0,0
2024,서울특별시,은평구,합 계,138846479,133915251,118594591,113511200,106170350,0,0,0,0,0,0,0
2024,서울특별시,서대문구,주택용,42122494,40314633,36791709,35790345,33990976,0,0,0,0,0,0,0
2024,서울특별시,서대문구,일반용,55799737,51795541,46220727,43066242,42809223,0,0,0,0,0,0,0
2024,서울특별시,서대문구,교육용,19594387,16285909,16327636,13612841,13810091,0,0,0,0,0,0,0
2024,서울특별시,서대문구,산업용,2783865,2676614,2552462,2616778,2526293,0,0,0,0,0,0,0
2024,서울특별시,서대문구,농사용,4774,5119,2905,2515,3112,0,0,0,0,0,0,0
2024,서울특별시,서대문구,가로등,733198,682718,626858,576257,523274,0,0,0,0,0,0,0
2024,서울특별시,서대문구,심 야,519107,477728,373936,345147,338099,0,0,0,0,0,0,0
2024,서울특별시,서대문구,합 계,121557562,112238262,102896233,96010125,94001068,0,0,0,0,0,0,0
2024,서울특별시,마포구,주택용,54544181,52432032,47098800,46128809,43541013,0,0,0,0,0,0,0
2024,서울특별시,마포구,일반용,134025164,124308377,111180461,102452157,101717306,0,0,0,0,0,0,0
2024,서울특별시,마포구,교육용,7037587,5666784,5479988,4389769,4120781,0,0,0,0,0,0,0
2024,서울특별시,마포구,산업용,12078654,10348979,10713828,11438724,13610049,0,0,0,0,0,0,0
2024,서울특별시,마포구,농사용,32405,33189,27521,27456,26892,0,0,0,0,0,0,0
2024,서울특별시,마포구,가로등,1208320,1129509,1024767,952720,828923,0,0,0,0,0,0,0
2024,서울특별시,마포구,심 야,1676981,1530922,2053512,1752151,1947218,0,0,0,0,0,0,0
2024,서울특별시,마포구,합 계,210603292,195449792,177578877,167141786,165792182,0,0,0,0,0,0,0
2024,서울특별시,강서구,주택용,73564465,71915140,64685522,64331637,60127896,0,0,0,0,0,0,0
2024,서울특별시,강서구,일반용,148123832,137556845,122021070,113154310,111923314,0,0,0,0,0,0,0
2024,서울특별시,강서구,교육용,6666715,5496429,4759441,4119962,2856545,0,0,0,0,0,0,0
2024,서울특별시,강서구,산업용,30240488,28784795,29132700,28407896,28357378,0,0,0,0,0,0,0
2024,서울특별시,강서구,농사용,453827,444606,459319,476087,506296,0,0,0,0,0,0,0
2024,서울특별시,강서구,가로등,1257762,1193750,1090705,1034661,939897,0,0,0,0,0,0,0
2024,서울특별시,강서구,심 야,697545,622006,497945,406002,1006794,0,0,0,0,0,0,0
2024,서울특별시,강서구,합 계,261004634,246013571,222646702,211930555,205718120,0,0,0,0,0,0,0
2024,서울특별시,구로구,주택용,54930846,53386367,48305695,47455830,44547065,0,0,0,0,0,0,0
2024,서울특별시,구로구,일반용,87234875,79100629,67475742,60953342,60008963,0,0,0,0,0,0,0
2024,서울특별시,구로구,교육용,4568291,3827657,3562230,2709500,2004196,0,0,0,0,0,0,0
2024,서울특별시,구로구,산업용,30462105,29065156,25097993,24076819,23204677,0,0,0,0,0,0,0
2024,서울특별시,구로구,농사용,56016,55977,45092,42918,41243,0,0,0,0,0,0,0
2024,서울특별시,구로구,가로등,950120,912548,848297,815440,749271,0,0,0,0,0,0,0
2024,서울특별시,구로구,심 야,457654,476775,382497,374958,603776,0,0,0,0,0,0,0
2024,서울특별시,구로구,합 계,178659907,166825109,145717546,136428807,131159191,0,0,0,0,0,0,0
2024,서울특별시,영등포구,주택용,57773280,55560375,50360884,49322753,46519500,0,0,0,0,0,0,0
2024,서울특별시,영등포구,일반용,169571174,153848044,141391165,132765390,133105365,0,0,0,0,0,0,0
2024,서울특별시,영등포구,교육용,3514189,2851795,2408610,2249792,1450555,0,0,0,0,0,0,0
2024,서울특별시,영등포구,산업용,18896282,18367282,17425416,17268953,16861626,0,0,0,0,0,0,0
2024,서울특별시,영등포구,농사용,2431,2543,2254,2335,2014,0,0,0,0,0,0,0
