"시설번호","지역코드","시설일련번호","시도명","시군구명","수용시설명","법정동코드","행정동코드","상세주소","시설면적","경도","위도","X좌표","Y좌표"
"49","1162000000","127","서울특별시","관악구","인헌어린이공원","1162010100","1162051000","서울특별시 관악구 봉천동 196-240","469","126.962581","37.475399","196690.121142","541774.372508"
"50","1162000000","128","서울특별시","관악구","색동어린이공원","1162010200","1162069500","서울특별시 관악구 신림로70길 74(신림동)","952","126.932709","37.486454","194048.707564","543002.837210"
"51","1162000000","129","서울특별시","관악구","난곡어린이공원","1162010200","1162064000","서울특별시 관악구 신림동 1563-56","632","126.915275","37.474117","192505.555844","541634.862159"
"52","1162000000","130","서울특별시","관악구","난우어린이공원","1162010200","1162076500","서울특별시 관악구 난곡로61길 1(신림동)","470","126.914084","37.480233","192400.832802","542313.689561"
"53","1123000000","75","서울특별시","동대문구","용두희망어린이공원","1123010200","1123051000","서울특별시 동대문구 용두동 716-1","529","127.026443","37.580078","202335.766178","553392.109208"
"54","1165000000","84","서울특별시","서초구","서울지방조달청 테니스장","1165010700","1165058100","서울특별시 서초구 반포대로 217(반포동)","1184","127.002453","37.499301","200216.866479","544426.499516"
"55","1162000000","139","서울특별시","관악구","사우촌어린이공원","1162010200","1162064000","서울특별시 관악구 신림동 1555-1","339","126.934174","37.467563","194176.763167","540906.066688"
"56","1162000000","140","서울특별시","관악구","태양어린이공원","1162010200","1162064000","서울특별시 관악구 신림동 1542-1","345","126.936486","37.468497","194381.366853","541009.650336"
"57","1162000000","136","서울특별시","관악구","무궁화어린이공원","1162010200","1162064000","서울특별시 관악구 신림동 645-1","660","126.923566","37.469681","193238.518946","541141.865737"
"58","1165000000","83","서울특별시","서초구","누에소공원","1165010600","1165054000","서울특별시 서초구 잠원동 160-3","1720","127.008449","37.509230","200746.991565","545528.612005"
"59","1135000000","110","서울특별시","노원구","불암초등학교","1135010600","1135061900","서울특별시 노원구 중계로 178(중계동)","11351","127.080400","37.651000","207095.065284","561266.426024"
"60","1135000000","111","서울특별시","노원구","영신여자고등학교","1135010600","1135061900","서울특별시 노원구 중계로16나길 13(중계동)","14886","127.082900","37.652200","207315.565308","561399.805980"
"61","1165000000","86","서울특별시","서초구","파리15구공원","1165010700","1165054000","서울특별시 서초구 반포동 68-2","708","126.999165","37.499517","199926.134552","544450.475396"
"62","1162000000","123","서울특별시","관악구","으뜸어린이공원","1162010100","1162051000","서울특별시 관악구 봉천동 1731","3232","126.941040","37.478485","194784.954082","542117.903823"
"63","1162000000","125","서울특별시","관악구","탑골어린이공원","1162010100","1162051000","서울특별시 관악구 봉천동 1510","492","126.961103","37.474456","196559.351331","541669.765848"
"64","1162000000","135","서울특별시","관악구","남강어린이공원","1162010200","1162064000","서울특별시 관악구 신림동 1678-12","774","126.924641","37.473513","193334.005081","541567.061422"
"65","1162000000","138","서울특별시","관악구","목화어린이공원","1162010200","1162064000","서울특별시 관악구 신림동 1716-1","388","126.942301","37.467912","194895.739602","540944.344252"
"66","1162000000","133","서울특별시","관악구","약수어린이공원","1162010200","1162064000","서울특별시 관악구 신림동 1685","533","126.912470","37.473186","192257.318936","541531.712900"
"67","1162000000","124","서울특별시","관악구","청룡어린이공원","1162010100","1162051000","서울특별시 관악구 봉천동 1557-34","852","126.944790","37.477672","195116.567706","542027.458251"
"68","1171000000","106","서울특별시","송파구","해누리이음학교","1171010700","1171063100","서울특별시 송파구 송파대로37길 95(가락동)","2303","127.102147","37.498424","209032.541650","544334.129668"
"69","1165000000","85","서울특별시","서초구","미도어린이공원","1165010700","1165054000","서울특별시 서초구 반포동 53-1","988","127.010758","37.501711","200951.238665","544694.048792"
"70","1162000000","118","서울특별시","관악구","국사봉어린이공원","1162010100","1162051000","서울특별시 관악구 봉천동 1511-5","412","126.934107","37.489989","194172.572964","543395.095458"
"71","1165000000","79","서울특별시","서초구","서울교육대학교 부설초등학교 운동장","1165010800","1165051000","서울특별시 서초구 서초중앙로 96(서초동)","2254","127.016948","37.490249","201498.861294","543422.036722"
